id,node_id,seq,round_id,n_samples,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
1328,1,868,85,32,0.430026,0.218668,0.070837,0.124048,-94,5.5,t,2026-09-05 17:53:06.830163+00
1329,2,1384,85,32,0.437708,0.226041,0.08747,0.144698,-59,8.75,t,2026-09-05 17:53:59.797225+00
1330,1,872,85,32,0.429933,0.218579,0.070708,0.12389,-94,5.75,t,2026-09-05 17:54:07.844673+00
1331,2,1388,86,32,0.435202,0.221653,0.089565,0.147779,-60,9.5,t,2026-09-05 17:54:59.954367+00
1332,1,876,86,32,0.429872,0.218513,0.070668,0.123863,-94,4.75,t,2026-09-05 17:55:07.100153+00
1333,2,1392,86,32,0.437971,0.225528,0.086868,0.145751,-59,9.5,t,2026-09-05 17:55:59.565638+00
1334,1,880,86,32,0.427263,0.214811,0.071783,0.12563,-95,5.5,t,2026-09-05 17:56:06.937845+00
1335,2,1396,86,32,0.436929,0.224807,0.087023,0.145979,-59,10,t,2026-09-05 17:56:59.777391+00
1336,1,884,86,32,0.427328,0.214886,0.071891,0.125776,-94,4.75,t,2026-09-05 17:57:06.738974+00
1337,2,1400,86,32,0.436118,0.224681,0.087299,0.146414,-60,9.25,t,2026-09-05 17:57:59.782392+00
1338,1,888,86,32,0.427319,0.214881,0.071877,0.125767,-95,5.25,t,2026-09-05 17:58:06.960757+00
1339,2,1404,86,32,0.435093,0.22445,0.087288,0.146404,-59,9.25,t,2026-09-05 17:58:59.884867+00
1340,1,892,86,32,0.42731,0.214879,0.071871,0.125764,-95,4.75,t,2026-09-05 17:59:07.059562+00
1341,2,1408,87,32,0.431557,0.225703,0.089061,0.148992,-60,9.5,t,2026-09-05 17:59:59.657297+00
1342,1,896,87,32,0.427244,0.214853,0.07187,0.125782,-95,6,t,2026-09-05 18:00:06.854491+00
1343,2,1412,87,32,0.434719,0.22599,0.087027,0.146933,-60,9.5,t,2026-09-05 18:00:59.699553+00
1344,1,900,87,32,0.4241,0.214979,0.072087,0.127141,-95,5,t,2026-09-05 18:01:07.072645+00
1345,2,1416,87,32,0.434159,0.226374,0.087829,0.147825,-60,9.5,t,2026-09-05 18:01:59.603777+00
1346,1,904,87,32,0.424087,0.214972,0.072089,0.127141,-95,5.25,t,2026-09-05 18:02:07.07964+00
1347,2,1420,87,32,0.433146,0.226153,0.088338,0.148242,-61,9.75,t,2026-09-05 18:03:01.147374+00
1348,1,908,87,32,0.423962,0.214854,0.071912,0.126926,-95,4.75,t,2026-09-05 18:03:06.949655+00
1349,2,1424,87,32,0.432351,0.225986,0.088902,0.148712,-59,9.5,t,2026-09-05 18:04:00.123128+00
1350,1,912,87,32,0.42403,0.214931,0.072052,0.127096,-94,5.25,t,2026-09-05 18:04:06.887859+00
1351,2,1428,88,32,0.42776,0.224243,0.09081,0.150258,-60,10,t,2026-09-05 18:04:59.92404+00
1352,1,916,88,32,0.423999,0.214929,0.072124,0.127174,-94,5.75,t,2026-09-05 18:05:06.956103+00
1353,2,1432,88,32,0.431284,0.225079,0.088111,0.148369,-60,9.25,t,2026-09-05 18:05:59.727973+00
1354,1,920,88,32,0.420576,0.214288,0.073061,0.128461,-95,4.75,t,2026-09-05 18:06:06.972009+00
1355,2,1436,88,32,0.430729,0.22447,0.088464,0.148758,-67,9.25,t,2026-09-05 18:06:59.435089+00
1356,1,924,88,32,0.420566,0.214286,0.073073,0.128472,-94,5.25,t,2026-09-05 18:07:07.019152+00
1357,2,1440,88,32,0.430213,0.223964,0.088772,0.149143,-66,8.75,t,2026-09-05 18:07:59.547254+00
1358,1,928,88,32,0.420615,0.214346,0.073181,0.128601,-95,5.5,t,2026-09-05 18:08:06.823233+00
1359,2,1444,88,32,0.42985,0.223695,0.088968,0.149676,-67,11,t,2026-09-05 18:08:59.756522+00
